KU_KOD;KU_NAZEV;CELKOVY_POCET_PARCEL;CELKOVA_VYMERA;Orn· p˘da(2)-poËet parcel;Orn· p˘da(2)-v˝mÏra;Chmelnice(3)-poËet parcel;Chmelnice(3)-v˝mÏra;Vinice(4)-poËet parcel;Vinice(4)-v˝mÏra;Zahrada(5)-poËet parcel;Zahrada(5)-v˝mÏra;Ovocn˝ sad(6)-poËet parcel;Ovocn˝ sad(6)-v˝mÏra;Trval˝ travnÌ porost(7)-poËet parcel;Trval˝ travnÌ porost(7)-v˝mÏra;LesnÌ pozemek(10)-poËet parcel;LesnÌ pozemek(10)-v˝mÏra;VodnÌ plocha(11)-poËet parcel;VodnÌ plocha(11)-v˝mÏra;ZastavÏn· plocha a n·dvo¯Ì(13)-poËet parcel;ZastavÏn· plocha a n·dvo¯Ì(13)-v˝mÏra;OstatnÌ plocha(14)-poËet parcel;OstatnÌ plocha(14)-v˝mÏra
759287;Suchov;8115;14457654;2672;4392553;0;0;0;0;468;281569;3;6569;2359;4930561;219;4057576;231;86463;453;141632;1710;560731;
759309;Suchovröice;1493;4286542;113;861430;0;0;0;0;233;190270;2;6226;305;825988;296;1938807;6;102763;246;71651;292;289407;
759317;Such˝;1475;3791278;215;304893;0;0;0;0;121;43782;0;0;209;127687;91;2956559;69;5425;357;55078;413;297854;
759325;Slavn˝;316;3682025;28;397256;0;0;0;0;33;23200;1;2846;99;837463;30;2326058;3;4687;58;19662;64;70853;
759333;Such˝ D˘l;1295;9601627;92;1975613;0;0;0;0;117;103424;2;3892;448;3064409;138;4050402;29;20953;246;82487;223;300447;
759350;Sukorady u MladÈ Boleslavi;2092;5436088;729;4105948;0;0;0;0;141;82238;1;10946;322;428381;40;285410;108;59183;256;115974;495;348008;
759368;Moönice;527;2294022;162;1411242;0;0;0;0;8;5831;0;0;142;173746;66;582040;9;17455;34;14530;106;89178;
759376;Sukorady;677;4327273;52;1890691;0;0;0;0;58;26530;0;0;96;549015;50;1244309;8;10268;88;46359;325;560101;
759384;Velk˝ Hubenov;978;5914849;81;3483243;10;253975;0;0;52;20309;0;0;284;748456;94;990907;10;31508;101;51822;346;334629;
759406;Sukorady u Ho¯ic;1249;5513596;392;1931325;0;0;0;0;157;90775;11;10641;60;103604;132;3044383;57;24726;165;80545;275;227597;
759414;Sulejovice;1639;3712534;323;2109465;33;273271;0;0;287;125226;4;15185;62;94451;0;0;68;140708;550;217259;312;736969;
759431;Sulice;3270;9916439;714;4585376;0;0;0;0;823;754721;1;17143;280;1218286;44;2538668;70;71973;843;206247;495;524025;
759457;SulÌkov;843;2309498;134;1435207;0;0;0;0;78;42554;1;5273;87;257722;125;281837;1;295;81;25590;336;261020;
759465;V¯esice;565;1411567;57;477298;0;0;0;0;58;44557;9;26179;82;266289;112;429861;2;764;67;20151;178;146468;
759473;KarolÌn u Sulimova;1126;1363968;469;1012247;0;0;0;0;96;74151;2;6035;128;67388;8;60203;14;9953;116;71333;293;62658;
759481;Sulimov;1626;1974705;541;1416798;0;0;0;0;78;57240;0;0;288;253396;24;44097;70;10795;138;35825;487;156554;
759490;Vrbka u Sulimova;1232;5313905;486;2326099;0;0;0;0;168;196095;7;22869;52;89437;151;2283091;12;18791;129;56310;227;321213;
759503;Sulislav;846;9579423;62;1912569;0;0;0;0;101;77562;0;0;122;1060418;140;5839177;42;145698;159;48676;220;495323;
759511;Polom u Sulkovce;719;4214096;27;814777;0;0;0;0;71;49840;0;0;80;1120139;223;1984424;1;1590;63;22369;254;220957;
759520;Sulkovec;692;4329952;60;2158065;0;0;0;0;125;65683;1;6620;61;955637;122;852366;9;4083;113;34719;201;252779;
759538;UbuöÌnek;534;2775263;25;910493;0;0;0;0;67;33680;0;0;95;909575;74;747105;6;13334;98;28109;169;132967;
759546;Liöice u Sulovic;489;1718833;279;1546748;0;0;0;0;29;20720;0;0;3;1195;9;37100;73;41158;32;21656;64;50256;
759554;Sulovice;1305;2479036;749;1944414;0;0;0;0;56;33039;1;4345;42;44793;65;250052;171;50504;66;42935;155;108954;
759562;Sumrakov;1482;7392035;115;1284276;0;0;0;0;113;56891;0;0;389;1681793;226;3605439;41;90455;118;36547;480;636634;
759571;SupÌkovice;2292;9286514;440;3191753;0;0;0;0;494;265821;0;0;191;668829;142;4260945;34;29004;392;142431;599;727731;
759597;Suöany;908;7770586;399;6927466;0;0;0;0;35;26390;0;0;27;140023;13;230585;62;46170;119;80512;253;319440;
759601;Suöice nad Otavou;11295;16604239;634;2428696;0;0;0;0;1707;1047000;135;306225;1177;2942055;513;5786415;74;312195;3679;961645;3376;2820008;
759635;DobröÌn;1393;6640701;190;1964034;0;0;0;0;69;58409;8;11636;190;1117337;254;2328970;34;147505;106;51680;542;961130;
759678;Rok;229;2193358;14;106195;0;0;0;0;26;18608;0;0;30;552217;65;1390337;0;0;35;11670;59;114331;
759686;Vrabcov;457;2071311;7;15898;0;0;0;0;28;28153;0;0;128;832005;114;988903;4;3441;57;19575;119;183336;
759694;Albrechtice u Suöice;811;4441898;22;420770;0;0;0;0;49;36369;0;0;194;1682305;143;1791669;5;6846;63;27495;335;476444;
759708;MilËice u Suöice;320;2128846;0;0;0;0;0;0;24;13854;0;0;46;636788;58;1073767;0;0;29;11986;163;392451;
759716;Humpolec u Suöice;386;2986042;1;57024;0;0;0;0;4;8675;0;0;77;1008605;98;1616067;1;342;20;6899;185;288430;
759724;Diviöov u Suöice;267;1198440;4;31306;0;0;0;0;67;44125;0;0;57;409300;22;609581;4;40228;49;8819;64;55081;
759732;Nuzerov;507;2286870;19;190891;0;0;0;0;25;22465;0;0;143;638501;90;1172368;2;56294;51;20430;177;185921;
759741;DolnÌ StaÚkov;1072;6286410;54;330611;0;0;0;0;210;138245;4;23342;214;1697311;106;3570391;16;62205;235;71607;233;392698;
759759;»ervenÈ Dvorce;357;930559;16;289753;0;0;0;0;83;79161;5;20627;51;352301;22;65475;4;3276;84;23880;92;96086;
759783;Suöice u UherskÈho HradiötÏ;1527;1887271;721;1476134;0;0;2;951;197;142003;6;13209;76;35079;0;0;34;37260;258;70920;233;111715;
759791;Suöice u P¯erova;3324;4846174;1437;3623134;0;0;0;0;179;184083;4;14045;347;418205;173;194610;129;56833;222;82442;833;272822;
710911;Chv·lkovice;4426;7632587;1219;4146418;0;0;0;0;666;340276;1;48031;212;446703;32;335559;23;62175;1170;493885;1103;1759540;
710920;Nov˝ SvÏt u Olomouce;466;188081;64;33900;0;0;0;0;126;65414;0;0;0;0;0;0;0;0;199;39799;77;48968;
710938;PavloviËky;493;685894;31;66160;0;0;0;0;56;29545;0;0;10;53937;0;0;2;492;262;90429;132;445331;
710946;ÿepËÌn;2239;5372488;784;3298223;0;0;0;0;297;138746;5;154693;69;214238;18;55929;46;105202;609;551799;411;853658;
710954;OlomuËany;2677;15132554;389;1670134;0;0;0;0;581;375661;35;138152;218;486117;276;11580100;15;100346;683;128632;480;653412;
710962;OlovÌ;1292;3506713;6;14535;0;0;0;0;253;137403;0;0;197;394463;162;2470703;24;49076;363;82948;287;357585;
710997;Studenec u OlovÌ;683;9909143;18;30702;0;0;0;0;46;30532;0;0;147;1194620;105;8094490;18;102326;115;31917;234;424556;
711004;Hory u OlovÌ;855;3582807;11;40232;0;0;0;0;192;72810;0;0;109;781834;62;2165078;5;12517;283;42835;193;467501;
711021;NovÈ Domy;142;2049838;0;0;0;0;0;0;10;4911;0;0;18;234089;23;1710442;5;5925;16;6035;70;88436;
711039;Olovnice;1769;5875818;802;4921605;0;0;0;0;174;126323;2;13884;54;108012;62;180848;69;54751;303;97611;303;372784;
711047;Olöany u »·slavi;570;2315083;273;2042501;0;0;0;0;46;42330;5;28987;32;34941;3;619;28;8989;62;37659;121;119057;
711055;Puche¯;346;2062298;192;1825215;0;0;0;0;26;25259;3;8872;36;103658;0;0;11;11631;39;26411;39;61252;
711071;Olöany u DaËic;902;4065384;65;1024782;0;0;0;0;116;48012;0;0;145;762746;111;1604729;71;269230;86;29115;308;326770;
711080;Olöany u TelËe;741;7304330;123;1298671;0;0;0;0;79;37450;0;0;93;695301;150;4777148;32;57419;76;26889;188;411452;
711098;Olöany nad Moravou;1555;4341274;72;361013;0;0;0;0;189;198697;1;5479;262;1733105;260;1424613;40;63037;302;92055;429;463275;
711101;Hablov;468;1065940;182;946075;0;0;0;0;99;39058;0;0;0;0;0;0;4;5789;77;26571;106;48447;
711110;Olöany u ProstÏjova;2804;9978116;1004;8827104;0;0;0;0;588;237722;2;5229;36;5431;10;19299;14;52372;731;221400;419;609559;
711128;KlokoËÌ u OlöÌ;691;2494495;262;1521153;0;0;0;0;48;38085;4;16539;74;80429;112;682409;5;4265;39;14955;147;136660;
711136;Litava;800;3149416;213;1158754;0;0;0;0;50;45878;1;4953;153;444844;161;1302184;3;598;50;19584;169;172621;
711144;OlöÌ u Tiönova;693;1876548;157;876288;0;0;0;0;89;40284;5;10256;99;326303;54;424996;5;4610;111;35140;173;158671;
711152;RakovÈ;202;1209626;2;22301;0;0;0;0;11;4995;2;10788;48;488799;67;571641;0;0;19;4664;53;106438;
711161;OlöÌ nad Oslavou;3128;8924810;1220;4356498;0;0;0;0;148;101797;0;0;632;984697;429;2396803;107;654884;172;69910;420;360221;
711179;BoÚkov u Hranic;209;1231362;13;19281;0;0;0;0;44;41673;0;0;26;137753;35;949729;3;12696;35;10184;53;60046;
711187;Olöovec;1751;7077031;468;3374178;0;0;0;0;206;168584;1;2645;112;217648;213;2788761;115;79612;225;85350;411;360253;
711195;Omice;5539;10459156;1398;3215548;0;0;0;0;359;222470;4;17747;142;261483;1402;5642613;180;56543;455;113807;1599;928945;
711217;Omlenice;1055;6271195;148;2246220;0;0;0;0;117;77194;13;44065;186;1587658;55;1517646;38;143785;199;58494;299;596133;
711233;Stradov u Kaplice;758;3915376;86;1512667;0;0;0;0;65;40727;3;7785;143;786277;92;992564;35;37306;70;18564;264;519486;
711241;Zahr·dka u Omlenic;293;3631320;8;372971;0;0;0;0;13;5950;2;32866;52;2165658;27;582281;15;110262;32;9647;144;351685;
711268;Ondratice;2168;3209096;901;2159500;0;0;0;0;174;118171;1;3018;338;355108;21;59803;25;19673;233;60976;475;432847;
711276;Ond¯ejov u Prahy;2850;11670592;182;3360532;0;0;0;0;761;701637;12;59544;242;931970;411;5893555;16;25753;828;174962;398;522639;
711284;Turkovice u Ond¯ejova;1072;2078465;221;810242;0;0;0;0;219;205214;11;18914;130;239943;118;572194;6;10399;192;37447;175;184112;
711292;Ond¯ejov u Pelh¯imova;1168;4534080;195;2317194;0;0;0;0;133;90419;0;0;122;679677;191;901884;19;39133;125;39205;383;466568;
711306;K¯eËovice u Onomyöle;327;3375992;61;2762881;0;0;0;0;36;30478;3;8599;59;358611;17;25244;18;23806;62;49483;71;116890;
711314;MiletÌn u Onomyöle;205;2162924;18;1543212;0;0;0;0;40;29223;1;3627;19;130584;1;364034;13;5543;62;38955;51;47746;
711322;Onomyöl;537;6081659;36;3254302;0;0;0;0;68;41765;4;9529;50;373838;79;2064520;21;30962;119;81474;160;225269;
711331;Rozkoö u Onomyöle;106;1259444;12;1022010;0;0;0;0;19;15732;1;2884;13;130300;2;9194;6;3008;30;27135;23;49181;
711349;Chlovy;711;2893975;278;1969784;0;0;0;0;30;25607;0;0;159;395287;62;390878;22;10695;19;15815;141;85909;
711357;Onöov;1423;4980677;267;1918487;0;0;0;0;96;44400;0;0;355;996766;117;1459744;25;98336;151;55572;412;407372;
711365;TÏökovice u Onöova;567;2108301;214;1223261;0;0;0;0;40;40048;0;0;133;214370;82;547273;4;2447;37;13149;57;67753;
711373;Onöov na MoravÏ;1095;5578786;311;2345223;0;0;0;0;46;56627;1;3111;10;35739;324;2605503;23;132869;178;36833;202;362881;
711381;Kosov u Opalic;950;2041075;167;685289;0;0;0;0;53;55197;0;0;222;481461;138;395834;31;182934;119;29765;220;210595;
711390;Opalice;640;3008947;172;1689762;0;0;0;0;51;47748;0;0;89;454088;78;603515;16;39513;71;26124;163;148197;
711411;Oparno;1005;3241724;165;970162;0;0;0;0;72;40212;1;5276;201;293386;144;1564446;15;13541;115;26931;292;327770;
711438;Opa¯any;3034;9205972;1244;4165433;0;0;0;0;332;268087;0;0;307;474528;112;3547827;94;84020;502;167217;443;498860;
711446;Podbo¯Ì;1866;5039810;940;2964435;0;0;0;0;120;110224;0;0;271;480693;47;1153196;190;76203;105;55557;193;199502;
711454;Opatov v »ech·ch;4863;29719114;606;10743854;0;0;0;0;536;329982;4;12573;784;2673950;448;11715678;321;1922169;600;236670;1564;2084238;
711462;Opatov u Jihlavy;1505;6750394;239;3484890;0;0;0;0;136;59765;0;0;341;1356545;149;1426015;43;29976;156;61948;441;331255;
711471;Opatov na MoravÏ;2331;19006703;164;7836546;0;0;0;0;235;155651;0;0;212;1989885;665;7440243;39;359218;557;205493;459;1019667;
711501;Opatovec;1629;7074627;204;4738198;0;0;0;0;355;262378;4;3168;247;890573;30;261207;41;253074;345;95511;403;570518;
711527;Opatovice u Rajhradu;6025;6151664;3327;4867694;0;0;24;14269;572;265245;15;19103;77;69596;253;208183;59;42076;540;171014;1158;494484;
711535;Opatovice u Vyökova;2431;5933236;573;1859247;0;0;0;0;219;152126;3;10168;353;618843;53;2222878;114;243285;242;88063;874;738626;
711543;Opatovice u Hranic;2930;7973225;1408;4312670;0;0;0;0;306;232905;1;5632;302;490229;107;2448043;54;25128;377;106946;375;351672;
711551;Opatovice nad Labem;3172;7959083;724;4002091;0;0;0;0;481;274212;2;6588;157;665339;50;170838;109;662797;758;288397;891;1888821;
711560;Opava-MÏsto;817;450384;0;0;0;0;0;0;33;13523;0;0;0;0;0;0;7;1526;511;212543;266;222792;
711578;Opava-P¯edmÏstÌ;12167;10166190;169;2213066;0;0;0;0;2444;1383071;0;0;56;78582;0;0;75;351765;7044;1949895;2379;4189811;
711730;Jakta¯;3560;5818966;607;3796083;0;0;0;0;659;353095;0;0;108;141744;5;3367;43;42573;1209;360701;929;1121403;
711756;Kate¯inky u Opavy;8802;14487587;2314;11289127;0;0;0;0;1170;407349;0;0;127;139043;57;118002;181;132985;2488;562333;2465;1838748;
711811;Kyleöovice;5424;10981353;1198;8153960;0;0;0;0;1121;551285;0;0;79;186772;46;143740;99;297600;1745;490758;1136;1157238;
711845;Kom·rov u Opavy;3205;7690636;859;4936361;0;0;0;0;420;302463;0;0;209;529185;148;394288;246;207898;735;359584;588;960857;
711870;MalÈ Hoötice;2139;5550877;598;4463140;0;0;0;0;452;208439;0;0;94;178303;5;21611;70;79366;623;187139;297;412879;
727750;Michle;6296;5511697;33;85008;0;0;0;0;690;353134;2;11686;19;23072;19;805320;14;58093;2649;1038281;2870;3137103;
727857;HodkoviËky;2127;2084053;46;202561;0;0;0;0;414;270785;6;12155;7;5080;55;440796;20;103278;788;179222;791;870176;
727873;BranÌk;6700;4400495;38;33708;0;0;0;0;1269;646945;0;0;6;5068;43;525672;23;235273;2945;561167;2376;2392662;
728071;Lhotka;1987;1045671;3;5854;0;0;0;0;537;264480;0;0;4;6282;7;64952;3;13339;760;147650;673;543114;
728152;PodolÌ;3881;2384326;6;2409;0;0;0;0;817;371179;2;4104;4;1466;1;11770;4;234021;1765;496142;1282;1263235;
728161;Nusle;4224;2846130;1;130;0;0;0;0;459;155292;0;0;0;0;0;0;3;16818;2310;955021;1451;1718869;
728225;Chodov;8963;7429664;61;408405;0;0;0;0;1076;396917;4;28523;26;18079;13;350276;13;38373;2721;1014012;5049;5175079;
728233;H·je;3426;2364057;85;281678;0;0;0;0;199;68724;1;2751;4;14736;6;40614;17;36967;1053;337333;2061;1581254;
728314;Kunratice;6760;8098527;819;2006723;0;0;0;0;1378;940748;30;67255;130;150894;47;2125773;60;204102;2389;588934;1907;2014098;
728390;Libuö;2970;1576639;86;183251;0;0;0;0;555;234575;0;0;96;22405;33;87771;9;7754;1191;339719;1000;701164;
728438;Kam˝k;2413;2539898;1;762;0;0;0;0;246;127243;0;0;2;52675;37;462427;12;10329;836;252161;1279;1634301;
728519;Komo¯any;1166;2081517;8;65673;0;0;0;0;297;199904;1;4724;24;46526;12;808589;5;138581;476;68262;343;749258;
728616;Mod¯any;10019;7691663;143;412998;0;0;0;0;2112;918484;14;60768;81;175946;280;1391092;38;172210;3677;997872;3674;3562293;
728641;Radlice;1358;2421078;56;1307342;0;0;0;0;202;85596;9;42451;8;58800;16;164164;3;627;388;137837;676;624261;
728730;Jinonice;4414;6168262;387;1560226;0;0;0;0;746;401124;16;152796;234;200167;142;1333485;37;50285;1359;496122;1493;1974057;
728764;KoöÌ¯e;4936;3226825;26;88168;0;0;0;0;1134;384880;1;7634;13;22783;69;693994;4;8698;2042;455472;1647;1565196;
728837;HluboËepy;5743;6069764;237;689091;0;0;0;0;818;513191;0;0;20;52160;121;692653;31;154380;1634;533405;2882;3434884;
728951;Motol;1535;3194899;0;0;0;0;0;0;169;103506;10;208873;9;56470;42;674325;16;42861;600;249150;689;1859714;
729051;SmÌchov;9148;7050892;81;72769;0;0;0;0;1616;966817;0;0;17;11926;57;399699;14;484729;4324;1500890;3039;3614062;
729183;Mal· Chuchle;340;1423099;11;135439;0;0;0;0;37;25210;0;0;10;18561;26;632343;4;107653;87;34710;165;469183;
729213;Velk· Chuchle;4034;4607295;168;613782;0;0;0;0;1117;708235;25;134936;170;337245;53;1124898;17;81918;1311;202215;1173;1404066;
729248;Lahovice;1200;2028227;122;954581;0;0;0;0;252;147247;3;18881;29;52156;0;0;13;277169;254;84481;527;493712;
729272;Dejvice;9062;7392092;62;94687;0;0;1;2656;1849;1427553;21;131570;62;143052;134;1338619;44;110786;4323;1072681;2566;3070488;
729302;St¯eöovice;3147;1545490;1;1884;0;0;0;0;963;470878;0;0;8;1100;4;8839;1;1023;1620;333164;550;728602;
729353;VeleslavÌn;1847;1312925;8;24014;0;0;0;0;323;207487;0;0;7;5104;8;103686;6;8612;946;248139;549;715883;
729418;Vokovice;2725;3524869;10;65314;0;0;0;0;458;187524;3;23475;6;18449;119;1444281;22;134786;1121;324036;986;1327004;
729582;B¯evnov;7607;5240778;15;41034;0;0;0;0;1795;907724;9;119357;0;0;4;61648;4;12584;3481;867219;2299;3231212;
729701;ÿepy;5238;3253092;210;378203;0;0;0;0;689;266801;18;47924;10;6487;3;73601;30;16223;1769;525460;2509;1938393;
729710;RuzynÏ;5559;14995028;347;2510200;0;0;0;0;946;635746;15;234825;72;53635;14;119758;30;14932;1962;1157847;2173;10268085;
729795;Liboc;2320;4250414;51;474507;0;0;0;0;542;245688;4;58012;19;19419;99;2401965;46;50667;835;189398;724;810758;
729876;Nebuöice;3027;3680510;421;1747809;0;0;0;0;885;484686;20;99451;80;145014;66;545179;10;7724;1060;234152;485;416495;
729931;Lysolaje;1619;2475597;102;1059635;0;0;0;0;314;180460;37;139394;37;36986;51;410660;10;4387;643;113626;425;530449;
729981;Suchdol;4130;4312818;176;1347346;0;0;0;0;1312;689121;64;246690;41;63832;65;451732;18;127354;1843;357728;611;1029015;
730041;Sedlec;1004;1455481;16;178709;0;0;0;0;196;178686;7;47203;7;31135;42;224691;3;125105;455;85399;278;584553;
730106;BubeneË;3173;4440716;0;0;0;0;0;0;517;348540;0;0;1;809;0;0;19;434510;1716;759744;920;2897113;
730122;Holeöovice;3373;4689256;0;0;0;0;0;0;158;29891;0;0;0;0;0;0;14;725229;1949;1182211;1252;2751925;
730190;Troja;4423;5425567;87;339637;0;0;16;77987;951;881892;63;337112;36;64864;25;196729;7;278165;1280;418483;1958;2830698;
730394;»imice;2894;2576686;147;913918;0;0;0;0;455;147173;2;7818;44;47921;77;128581;37;33156;1061;231832;1071;1066287;
730475;Kobylisy;5023;3234077;19;65054;0;0;0;0;1050;307903;1;4619;0;0;20;128545;0;0;2307;615798;1626;2112158;
730556;Bohnice;3315;4658617;29;735116;0;0;0;0;492;244250;134;39760;5;30054;50;1060391;5;124512;1087;380144;1513;2044390;
730599;DolnÌ Chabry;4341;4988764;840;3146796;0;0;0;0;1007;440746;9;54885;8;49894;60;78312;44;24585;1533;308918;840;884628;
730629;œ·blice;3485;7379236;738;5235828;0;0;0;0;651;292097;12;56239;14;28993;39;546342;48;22005;1164;301789;819;895943;
730866;St¯Ìûkov;2114;2030089;35;134083;0;0;0;0;209;182595;0;0;0;0;0;0;4;1371;734;228648;1132;1483392;
730891;LibeÚ;7976;7379245;62;79941;0;0;0;0;1182;790268;0;0;4;26304;28;323729;10;369765;3299;1279320;3391;4509918;
730955;KarlÌn;1629;2157131;1;7764;0;0;0;0;74;54502;0;0;0;0;0;0;2;102437;868;619189;684;1373239;
731226;Kyje;5982;5685444;337;1662470;0;0;0;0;1339;634707;3;23335;62;78695;37;262225;9;201627;2455;589143;1740;2233242;
731234;HloubÏtÌn;5965;5444431;246;910441;0;0;0;0;1016;494957;125;147680;20;45433;53;478841;24;82748;2042;477594;2439;2806737;
731285;VysoËany;5350;6068126;102;787526;0;0;0;0;390;347636;52;327971;1;1198;69;190572;5;11883;1755;1119291;2976;3282049;
731382;Prosek;2455;1675782;5;1564;0;0;0;0;343;97894;0;0;17;14530;0;0;1;959;1001;298746;1088;1262089;
731439;LetÚany;4008;5606436;375;1285622;0;0;0;0;435;169097;0;0;3;479;11;278783;6;1469;1345;791322;1833;3079664;
731528;T¯eboradice;1525;3687607;379;2906299;0;0;0;0;250;136197;10;38042;2;1557;3;21954;42;40989;478;111773;361;430796;
731552;Miökovice;1345;2666738;408;2051202;0;0;0;0;139;99755;3;12112;0;0;11;61355;29;19109;453;111271;302;311934;
731561;»akovice;3555;3829556;189;1547183;0;0;0;0;719;328526;28;87580;10;41147;0;0;31;68673;1781;434138;797;1322309;
731641;Kbely;4037;6003030;220;1368654;0;0;0;0;859;588604;1;16032;1;67;5;179824;12;14068;2078;477602;861;3358179;
731676;»ern˝ Most;2277;2100476;166;230438;0;0;0;0;3;6723;2;7267;5;6641;7;23279;14;21465;658;359422;1422;1445241;
731722;Hostavice;2008;1975907;201;656753;0;0;0;0;562;249753;0;0;64;205371;1;8985;26;47645;764;143181;390;664219;
731765;Hrdlo¯ezy;1073;1956183;30;175139;0;0;0;0;215;319386;17;185370;6;9377;40;400426;4;15012;313;150332;448;701141;
731943;Straönice;10785;6179630;9;60238;0;0;0;0;1996;714275;1;3009;0;0;27;192091;0;0;5018;1194499;3734;4015518;
732052;Hostiva¯;6889;7997226;198;486147;0;0;0;0;1040;482101;19;220633;44;133176;207;1628476;52;401774;2405;1141469;2924;3503450;
732117;Z·bÏhlice;9414;5688051;86;513218;0;0;1;910;1867;683815;11;166420;15;13256;5;24268;26;90067;4201;878230;3202;3317867;
732257;Vröovice;4232;2934636;1;214;0;0;0;0;397;110470;0;0;4;1531;6;27931;3;20043;2161;794658;1660;1979789;
732451;Maleöice;3308;3822598;27;176785;0;0;0;0;353;155187;1;3506;1;57;15;111141;10;15536;1309;719260;1592;2641126;
732516;ätÏrboholy;2108;2970214;253;1115275;0;0;0;0;251;180306;0;0;7;3825;0;0;30;15118;609;282808;958;1372882;
746258;RosiËka;310;2696094;35;1940065;0;0;0;0;36;17782;0;0;56;314154;44;278335;6;10415;38;20122;95;115221;
746266;S·zava u éÔ·ru nad S·zavou;1998;7182953;125;2643270;0;0;0;0;262;117032;0;0;212;1156242;222;2132448;39;122156;451;131075;687;880730;
746274;Kunemil;788;4497139;139;2329932;0;0;0;0;94;57027;0;0;140;604609;138;1071416;30;49679;99;61697;148;322779;
746282;S·zavka;1719;11014134;263;5548624;0;0;0;0;246;179140;0;0;284;1568611;389;2863626;34;115056;238;106326;265;632751;
746291;Sazen·;2133;6775087;1014;5302722;0;0;0;0;132;68207;13;94636;71;39967;199;640225;115;42164;198;97995;391;489171;
746304;Sazovice;1621;3919122;623;3208244;0;0;0;0;288;168454;2;9002;54;62467;6;18675;14;24137;327;108810;307;319333;
746312;HrobiËany;1120;3338958;399;2290033;0;0;0;0;76;55198;8;14178;291;724415;0;0;98;42092;97;70374;151;142668;
746321;SbÏ¯;1238;4289308;474;3650160;0;0;0;0;120;76221;2;5765;106;140831;2;4274;116;82992;206;101770;212;227295;
746339;Veleöice;488;1454911;137;923313;0;0;0;0;24;20414;2;8516;194;337841;2;43729;36;18749;38;19789;55;82560;
746347;Biskoupky;484;2587436;182;1246832;0;0;0;0;44;32432;1;1272;101;332688;23;864833;23;6761;46;20859;64;81759;
746355;SebeËice;872;4074495;234;1519950;0;0;0;0;63;41296;2;9766;264;641561;12;1645901;31;19027;104;35292;162;161702;
746363;KaliötÏ u Sebranic;615;1910114;149;1213637;0;0;0;0;53;40580;0;0;126;221034;57;306128;4;455;41;14671;185;113609;
746371;Pohora;1840;5641646;622;4090859;0;0;0;0;210;194801;0;0;118;257908;29;590246;25;2157;237;99576;599;406099;
746380;Sebranice u Litomyöle;1599;4136633;280;2823287;0;0;0;0;208;115298;0;0;242;309848;41;378873;79;17232;221;62776;528;429319;
746401;Sebranice u Boskovic;3727;8040457;1455;5335601;0;0;0;0;367;262318;20;98769;570;883362;177;631890;89;80420;333;146431;716;601666;
746410;CÌrkvice;1043;1523110;36;108791;0;0;0;0;201;107154;5;13702;128;94972;17;531824;2;205320;320;26827;334;434520;
746428;SebuzÌn;2586;7240812;170;358388;0;0;0;0;325;177285;11;53317;826;1695687;164;3950590;25;303552;455;59686;610;642307;
746436;SeË u Blovic;963;3340691;111;1536706;0;0;0;0;165;120591;0;0;112;314398;66;848593;38;82442;192;56935;279;381026;
746444;ProseË u SeËe;1470;6339783;144;1059325;0;0;0;0;90;59499;2;34875;264;743897;125;3233719;13;726502;413;63754;419;418212;
746452;ProsÌËka u SeËe;490;5126705;112;771887;0;0;0;0;23;16045;0;0;155;715535;75;3449671;5;51922;42;26475;78;95170;
746461;SeË;4020;10012617;771;3074465;0;0;0;0;304;188283;0;0;589;1706784;233;3057917;48;652142;1097;204734;978;1128292;
746487;SeË u Brand˝sa nad OrlicÌ;822;2431851;207;1196990;0;0;0;0;117;58968;0;0;147;312713;62;708179;10;6756;95;31380;184;116865;
746495;SedËice;761;3800579;279;2549725;46;481086;0;0;39;25205;0;0;109;233954;21;182723;38;73493;96;61465;133;192928;
746509;éabokliky;442;4394795;168;3687683;11;99592;0;0;34;15805;0;0;19;33620;32;278052;11;36620;54;28003;113;215420;
746517;Sedlatice;937;3407470;449;1518916;0;0;0;0;50;47835;1;2734;148;356167;46;1313299;18;19700;51;26369;174;122450;
746533;SedlËany;8514;11732616;1151;5535295;0;0;0;0;1108;550682;12;64831;636;1013844;338;1759549;243;326626;2183;609367;2843;1872422;
746568;SestrouÚ;2732;7455943;465;2940511;0;0;0;0;109;93823;4;25897;431;999540;341;2556607;70;81594;140;60279;1172;697692;
746657;Sedlec u Möena;552;5649853;40;3228753;0;0;0;0;100;76568;14;75404;17;40605;117;1960001;2;2513;119;58650;143;207359;
746665;Sedlec u Ben·tek nad Jizerou;591;5006840;160;4566828;0;0;0;0;70;68597;0;0;10;22772;0;0;11;8838;154;87369;186;252436;
746673;Sedlec u LÌbeznic;769;1878943;187;1469924;0;0;0;0;155;77191;4;4118;13;3460;4;97217;1;5;184;45660;221;181368;
746681;Hlavatce u »esk˝ch BudÏjovic;443;5041734;85;3129472;0;0;0;0;49;51263;0;0;59;706254;27;569579;25;250169;90;54210;108;280787;
746690;LÈka¯ova Lhota;392;2553552;86;1729974;0;0;0;0;39;26149;0;0;27;364170;39;158727;8;26520;63;30248;130;217764;
746703;MalÈ Chr·öùany;307;2312355;50;1197090;0;0;0;0;32;20311;0;0;20;73456;101;228559;18;695065;37;13836;49;84038;
746711;Pl·stovice;784;9053870;170;3295571;0;0;0;0;58;21452;0;0;201;3340634;60;314138;42;1731804;94;55752;159;294519;
