KU_KOD;KU_NAZEV;CELKOVY_POCET_PARCEL;CELKOVA_VYMERA;Orn· p˘da(2)-poËet parcel;Orn· p˘da(2)-v˝mÏra;Chmelnice(3)-poËet parcel;Chmelnice(3)-v˝mÏra;Vinice(4)-poËet parcel;Vinice(4)-v˝mÏra;Zahrada(5)-poËet parcel;Zahrada(5)-v˝mÏra;Ovocn˝ sad(6)-poËet parcel;Ovocn˝ sad(6)-v˝mÏra;Trval˝ travnÌ porost(7)-poËet parcel;Trval˝ travnÌ porost(7)-v˝mÏra;LesnÌ pozemek(10)-poËet parcel;LesnÌ pozemek(10)-v˝mÏra;VodnÌ plocha(11)-poËet parcel;VodnÌ plocha(11)-v˝mÏra;ZastavÏn· plocha a n·dvo¯Ì(13)-poËet parcel;ZastavÏn· plocha a n·dvo¯Ì(13)-v˝mÏra;OstatnÌ plocha(14)-poËet parcel;OstatnÌ plocha(14)-v˝mÏra
601217;BavorynÏ;792;2223961;317;1532796;0;0;0;0;78;53926;5;27583;30;154129;5;62238;14;32921;162;47455;181;312913;
601225;BdÌn;931;2116514;418;1284528;10;2141;0;0;35;37214;3;12279;131;244403;11;337296;52;21794;75;43872;196;132987;
601233;BeËov u Mostu;1340;13634864;211;8777527;0;0;0;0;233;125679;5;100454;66;2521487;9;376462;30;187701;411;97643;375;1447911;
601241;Mil·;301;2174432;53;1363732;0;0;0;0;46;41865;0;0;46;489457;2;134711;2;342;49;19604;103;124721;
601250;ZajeËice u BeËova;354;2918972;97;2274009;0;0;0;0;21;60727;0;0;16;52843;9;92557;24;131998;44;15407;143;291431;
601268;BeËov nad Teplou;2654;12495723;26;31220;0;0;0;0;326;175779;0;0;568;1975982;171;8393239;76;366440;576;120131;911;1432932;
601276;Kr·sn˝ Jez;535;3896536;10;275646;0;0;0;0;92;60398;0;0;110;1025266;91;1855619;6;78927;87;36346;139;564334;
601284;Vodn· u BeËova nad Teplou;366;3424960;22;86054;0;0;0;0;52;19939;0;0;65;256455;28;2884257;11;32079;60;15995;128;130181;
601292;BeËv·ry;1216;6299207;131;4868622;0;0;0;0;199;120082;8;25646;40;161912;30;86141;69;378760;393;176258;346;481786;
601306;»erven˝ Hr·dek u BeËv·r;854;4049478;231;2302766;0;0;0;0;145;83438;9;30082;42;174104;21;1033095;15;38904;180;86162;211;300927;
601314;PoÔousy;359;1725900;118;1321181;0;0;0;0;43;37818;4;7102;40;138327;5;41661;28;55935;60;36705;61;87171;
601322;ZadnÌ Hr·dek;111;786545;67;704138;0;0;0;0;1;50;1;554;4;23883;8;9726;9;11565;2;2898;19;33731;
601331;Bedihoöù;1559;6465619;342;4740182;0;0;0;0;348;217136;5;20084;20;114165;2;9904;34;56455;479;171688;329;1136005;
601349;Bedn·rec;1313;7812229;271;3002233;0;0;0;0;69;61946;0;0;270;1372241;235;2678624;79;239096;100;44329;289;413760;
601357;Bedn·reËek;1255;6939644;216;2899838;0;0;0;0;128;81143;3;25791;190;1204269;168;2193097;55;98739;162;51679;333;385088;
601365;Bed¯ichov u Jablonce nad Nisou;1970;24260278;0;0;0;0;0;0;69;40312;0;0;717;1205681;130;21674517;38;569270;501;111704;515;658794;
601373;Bed¯ichov;1707;6282645;666;1700669;0;0;0;0;153;96623;3;10915;185;202636;126;3967068;5;6157;178;47071;391;251506;
601381;Bed¯ichovice;1033;1751763;493;1413598;0;0;0;0;111;48512;0;0;14;6638;0;0;37;10253;147;47557;231;225205;
601390;BÏha¯ov;1293;3213385;273;1101759;0;0;0;0;139;89289;3;9583;379;1394910;48;269911;82;41221;124;51072;245;255640;
601403;Dubov· Lhota;623;1665818;178;776987;0;0;0;0;36;25696;0;0;200;648061;15;15832;56;50527;40;27209;98;121506;
601411;⁄borsko;429;1154183;85;496936;0;0;0;0;42;34089;0;0;125;415856;9;44352;10;3919;55;16799;103;142232;
601420;BÏha¯ovice;759;3981850;268;3452798;0;0;0;0;69;48926;2;9894;39;60832;10;46596;7;23242;160;74040;204;265522;
601438;Ratiöovice;982;3966612;517;2791888;0;0;0;0;110;83259;11;39228;26;53354;32;662716;16;19863;112;52746;158;263558;
601446;Stupeöice;943;6081024;469;4758329;0;0;0;0;66;44095;1;2489;25;93032;93;864045;17;19058;135;65142;137;234834;
601462;BÏchary;1171;8792919;439;6746789;0;0;0;0;116;78099;18;67439;105;521947;22;727171;55;84195;215;166897;201;400382;
